number	file_name	vulnerability	severity	is_sensitively_vulnerable	CWE/CVE/New	confidence_score	sensitive_function_responsible	standard_or_custom	explanation	code_snippet
5375	westviamidwest.com.js	Cross-Site Messaging Vulnerability	High	true	N/A	N/A	self.addEventListener	standard	{The self.addEventListener function is used to listen for 'message' events, which can be triggered by external scripts or iframes. The code processes incoming messages without validating the origin or data structure, allowing an attacker to send a malicious payload with a 'CACHE_URLS' type. This can lead to unintended cache operations or execution of arbitrary requests if the payload is processed without proper sanitization. The vulnerability arises because the function is misused by accepting untrusted input from the message event without origin checks or input validation.}	```self.addEventListener('message', e => { if (e.data && 'CACHE_URLS' === e.data.type) { const { payload: t } = e.data; const s = Promise.all(t.urlsToCache.map(t => { 'string' == typeof t && (t = [t]); const s = new Request(...t); return this.handleRequest({ request: s, event: e }); })); e.waitUntil(s), e.ports && e.ports[0] && s.then(() => e.ports[0].postMessage(!0)); } });```
5376	birdeyedesign.com.js	CORS Misconfiguration	Medium	false	N/A	N/A	N/A	N/A	{The fetch call with mode: 'no-cors' is not inherently a sensitive function misuse, as it is a deliberate configuration choice to restrict cross-origin requests. However, it may lead to CORS misconfiguration if not properly aligned with the intended security policy. Since the function usage is not dynamic or based on untrusted input, it does not qualify as a sensitive function misuse.}	```const response = await fetch(new Request(url, { mode: 'no-cors' }));```
5377	birdeyedesign.com.js	Code Injection	High	true	N/A	N/A	template	custom	{The template function uses a dynamically generated regular expression based on user-provided keys in the data object. If an attacker can control the keys in the data object, they can craft a regex that matches unintended parts of the string, potentially leading to code injection or unintended behavior during string replacement. The function is custom and its misuse arises from dynamic regex construction from untrusted input.}	```function template(str, data) { var regex = new RegExp('\\<(' + Object.keys(data).join('|') + ')\\>', 'g'); return str.replace(regex, (m, $1) => { const key = isNaN($1) ? $1 : +$1; return data[key] || m; }); }```
5378	eurasica.ru.js	Incorrect CSRF Token Handling	High	true	N/A	9	N/A	standard	{The vulnerability arises from the use of `match()` on `e.currentTarget.location.href` to extract `loggedIn` status, which is then used to conditionally intercept POST requests. While `match()` itself is not inherently dangerous, the logic that follows—intercepting and modifying requests based on this extracted value—relies on untrusted input (URL query parameters) to determine whether to inject a CSRF token. This creates a risk if the `loggedIn` parameter is manipulated by an attacker, potentially leading to unauthorized actions. The sensitive function here is `match()` because it is used to parse untrusted input (URL) to control critical security logic.}	```let matches = e.currentTarget.location.href.match(/loggedIn=(true|false)/);```
5379	eurasica.ru.js	Unvalidated URL in Notification Click Handler	Medium	true	N/A	9	N/A	standard	{The `navigate()` method is used with `data.url`, which is derived from a push notification payload. Since push notification data can be controlled by an attacker (if the server is compromised or if the notification is crafted maliciously), passing this unvalidated URL directly to `navigate()` allows for open redirect or phishing attacks. The `navigate()` function is a standard browser API that executes navigation based on the provided URL, and its misuse here with untrusted input constitutes a sensitive function misuse.}	```if (data.url) { clients[0].navigate(data.url); } else { clients[0].navigate(BASE_URL); }```
5380	specialdays.es.js	Improper Input Validation	Medium	false	CWE-20	N/A	N/A	N/A	{The vulnerability is due to improper input validation of the push notification data, but no sensitive function is being misused. The code safely parses and logs the data, and uses it to show a notification without executing arbitrary code or loading external resources.}	```self.addEventListener('push', event => { const data = event.data.json(); console.log(data); event.waitUntil(self.registration.showNotification(data.title, { body: data.message })); });```
5381	voucherdeals.in.js	Insecure Direct Object Reference (IDOR) via Unvalidated URL in Notification	High	true	CWE-20	10	clients.openWindow	standard	{The function clients.openWindow() is a standard browser API that opens a new window or tab with the provided URL. When the URL is derived from untrusted data (in this case, event.notification.data.url), it allows an attacker to redirect users to arbitrary websites, potentially leading to phishing, malware distribution, or other malicious activities. Since the URL is not validated or sanitized, this constitutes a direct object reference vulnerability.}	```event.waitUntil(self.clients.openWindow(event.notification.data.url));```
5382	s2kprime.com.js	Open Redirect via Untrusted URL Handling	High	true	CWE-601	10	clients.openWindow	standard	{The function clients.openWindow is used to open a new window or tab with a URL constructed by concatenating a hardcoded path '/s2k/#/' with the untrusted 'url' value received from the notification data. Since 'url' is derived from the push notification payload (which can be controlled by an attacker), this allows an attacker to redirect users to arbitrary external URLs, leading to an open redirect vulnerability.}	"```clients.openWindow(""/s2k/#/"" + url);```"
5383	rivieradelconero.info.js	Cache Poisoning via Unrestricted HTTP(S) URL Caching	High	true	CWE-918	10	caches.put	standard	"{The caches.put() function is used to store a response in the cache, but it is called without validating the origin or scheme of the request URL. The condition `0 === e.request.url.indexOf(""http"")` allows any HTTP or HTTPS URL to be cached, including potentially malicious or unintended external resources. This enables cache poisoning, where an attacker can manipulate the cache with arbitrary content, leading to data leakage, redirection, or execution of malicious scripts.}"	"```return 0 === e.request.url.indexOf(""http"") && a.put(e.request, t.clone()), t;```"
5384	soarboatingclub.co.uk.js	Regular Expression Denial of Service (ReDoS)	High	true	CWE-400	10	JSON.parse	standard	{The JSON.parse function is used to parse a string containing potentially complex regular expressions, which are then converted into RegExp objects. The input string is static and hardcoded, but the use of JSON.parse to process a string that contains regex patterns is inherently risky because it can lead to ReDoS if the patterns are malformed or overly complex. Although the input is not dynamic, the function is misused by treating a string of regex patterns as JSON, which is not its intended purpose and can result in performance degradation or denial of service if the regex patterns are crafted to cause exponential backtracking.}	N/A
5385	soarboatingclub.co.uk.js	Regular Expression Denial of Service (ReDoS)	High	true	CWE-400	10	JSON.parse	standard	{The JSON.parse function is used to parse a string containing potentially complex regular expressions, which are then converted into RegExp objects. The input string is static and hardcoded, but the use of JSON.parse to process a string that contains regex patterns is inherently risky because it can lead to ReDoS if the patterns are malformed or overly complex. Although the input is not dynamic, the function is misused by treating a string of regex patterns as JSON, which is not its intended purpose and can result in performance degradation or denial of service if the regex patterns are crafted to cause exponential backtracking.}	N/A
5386	energiesubsidiewijzer.nl.js	Improper Caching Strategy Leading to Potential Malicious Content Delivery	Medium	false	New	N/A	N/A	N/A	{The vulnerability arises from the use of a broad regular expression `/\/assets\/images\//` in `s.registerRoute()`, which may cache and serve malicious content if an attacker can inject or manipulate assets under that path. However, this is not due to misuse of a sensitive function like `importScripts()` or `eval()`, but rather a misconfiguration in the caching strategy. The function `s.registerRoute()` is part of Workbox, a custom library, but its misuse here is not inherently sensitive in the same way as functions that execute arbitrary code or load remote scripts.}	"```s.registerRoute(/\/assets\/images\//, new s.StaleWhileRevalidate(), ""GET"");```"
